observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,tipo
15/08/1996,-22.9536671665,-43.1630348469,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/26054868,https://inaturalist-open-data.s3.amazonaws.com/photos/40423698/medium.jpg,N-H
21/06/1999,-22.9492450212,-43.1575111222,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/167323799,https://inaturalist-open-data.s3.amazonaws.com/photos/289851698/medium.jpg,N-H
15/07/2000,-22.9526864831,-43.1569341683,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/12509872,https://inaturalist-open-data.s3.amazonaws.com/photos/18060860/medium.jpg,N-H
19/04/2001,-22.9526864831,-43.1569341683,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/12509873,https://inaturalist-open-data.s3.amazonaws.com/photos/18060873/medium.jpg,N-H
18/11/2003,-22.971860151,-43.2441880127,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/159492651,https://inaturalist-open-data.s3.amazonaws.com/photos/275562464/medium.jpg,N-H
17/01/2004,-22.8729838508,-43.2460036129,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/38885748,https://inaturalist-open-data.s3.amazonaws.com/photos/61832200/medium.jpeg,N-H
17/01/2004,-22.9155999018,-43.172652167,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/91359164,https://inaturalist-open-data.s3.amazonaws.com/photos/151100464/medium.jpg,N-H
12/02/2004,-22.9131236834,-43.1768721776,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/91359165,https://inaturalist-open-data.s3.amazonaws.com/photos/151100483/medium.jpg,N-H
10/08/2004,-22.94,-43.15,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/19530588,https://inaturalist-open-data.s3.amazonaws.com/photos/30057520/medium.jpg,N-H
30/10/2004,-22.950042,-43.15601,Rio de Janeiro,Rio de Janeiro,http://www.inaturalist.org/observations/1352476,https://inaturalist-open-data.s3.amazonaws.com/photos/1673539/medium.PNG,N-H
17/08/2005,-22.9698221372,-43.0190680191,Maricá,Rio de Janeiro,https://www.inaturalist.org/observations/12231133,https://inaturalist-open-data.s3.amazonaws.com/photos/17577683/medium.jpeg,N-H
09/09/2005,-22.9673717,-43.2250381,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/177660670,https://inaturalist-open-data.s3.amazonaws.com/photos/309027139/medium.jpg,N-H
01/11/2005,-22.5790910421,-42.9692914591,Guapimirim,Rio de Janeiro,https://www.inaturalist.org/observations/237450442,https://inaturalist-open-data.s3.amazonaws.com/photos/422590250/medium.jpg,N-H
27/02/2006,-22.9507938436,-43.162798102,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/106656805,https://static.inaturalist.org/photos/179216307/medium.jpeg,H
08/03/2006,-22.420362147,-43.8195154297,Barra do Piraí,Rio de Janeiro,https://www.inaturalist.org/observations/152264282,https://static.inaturalist.org/photos/262828198/medium.jpeg,N-H
07/05/2006,-22.9498560945,-43.1582359815,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/81366244,https://static.inaturalist.org/photos/133446169/medium.jpeg,N-H
09/05/2006,-23.2203282754,-44.7143670265,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/39189861,https://inaturalist-open-data.s3.amazonaws.com/photos/62139881/medium.jpg,N-H
25/11/2006,-22.9514836887,-43.1640787098,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/39190123,https://inaturalist-open-data.s3.amazonaws.com/photos/62141046/medium.jpg,N-H
26/11/2006,-23.733087683,-46.7237213306,São Paulo,São Paulo,https://www.inaturalist.org/observations/14734599,https://inaturalist-open-data.s3.amazonaws.com/photos/21980574/medium.jpeg,N-H
14/06/2007,-22.8812491832,-43.0316340923,Niterói,Rio de Janeiro,https://www.inaturalist.org/observations/66769623,https://inaturalist-open-data.s3.amazonaws.com/photos/107713277/medium.jpeg,N-H
04/01/2008,-22.9488721091,-43.1580506265,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/263985530,https://static.inaturalist.org/photos/474338261/medium.jpeg,N-H
20/04/2008,-23.2831044718,-44.6490242585,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/22635311,https://inaturalist-open-data.s3.amazonaws.com/photos/35071024/medium.jpeg,N-H
15/08/2008,-22.949367,-43.156271,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/49168998,https://inaturalist-open-data.s3.amazonaws.com/photos/78046723/medium.jpg,N-H
23/11/2008,-22.9637848,-43.222283,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/60807362,https://inaturalist-open-data.s3.amazonaws.com/photos/97255203/medium.jpg,N-H
17/01/2009,-23.0069815177,-43.3984656283,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/101718609,https://inaturalist-open-data.s3.amazonaws.com/photos/169899627/medium.jpg,N-H
07/03/2009,-22.9530159548,-43.15882314,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/11900066,https://inaturalist-open-data.s3.amazonaws.com/photos/17035425/medium.jpeg,N-H
21/03/2009,-23.0547596279,-44.5848886332,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/199358215,https://inaturalist-open-data.s3.amazonaws.com/photos/351562425/medium.jpg,N-H
